Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	CS8646	'IComponentConnector.Connect(int, object)' is explicitly implemented more than once.	SimHap	SettingsControl.xaml.cs	20	N/A	
Error	CS1112	Do not use 'System.Runtime.CompilerServices.ExtensionAttribute'. Use the 'this' keyword instead.	SimHap	AssemblyInfo.cs	5	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'ABSPulseLength'	SimHap	settingscontrol.xaml	373	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'CarClass'	SimHap	settingscontrol.xaml	70	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'CarId'	SimHap	settingscontrol.xaml	66	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'CarName'	SimHap	settingscontrol.xaml	62	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'CylinderCount'	SimHap	settingscontrol.xaml	110	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'DisplacementCC'	SimHap	settingscontrol.xaml	132	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'DownshiftDurationMs'	SimHap	settingscontrol.xaml	85	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'EMaxPowerHP'	SimHap	settingscontrol.xaml	128	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'EngineConfig'	SimHap	settingscontrol.xaml	106	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'EngineLocation'	SimHap	settingscontrol.xaml	114	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'EngineMult'	SimHap	settingscontrol.xaml	98	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MaxPowerHP'	SimHap	settingscontrol.xaml	122	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MaxRPM'	SimHap	settingscontrol.xaml	79	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MaxTorqueNm'	SimHap	settingscontrol.xaml	136	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionHeaveGamma'	SimHap	settingscontrol.xaml	221	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionHeaveMult'	SimHap	settingscontrol.xaml	217	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionHeaveOffset'	SimHap	settingscontrol.xaml	213	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionPitchGamma'	SimHap	settingscontrol.xaml	183	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionPitchMult'	SimHap	settingscontrol.xaml	179	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionPitchOffset'	SimHap	settingscontrol.xaml	175	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionRollGamma'	SimHap	settingscontrol.xaml	195	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionRollMult'	SimHap	settingscontrol.xaml	191	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionRollOffset'	SimHap	settingscontrol.xaml	187	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionSurgeGamma'	SimHap	settingscontrol.xaml	233	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionSurgeMult'	SimHap	settingscontrol.xaml	229	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionSurgeOffset'	SimHap	settingscontrol.xaml	225	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionSwayGamma'	SimHap	settingscontrol.xaml	245	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionSwayMult'	SimHap	settingscontrol.xaml	241	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionSwayOffset'	SimHap	settingscontrol.xaml	237	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionYawGamma'	SimHap	settingscontrol.xaml	207	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionYawMult'	SimHap	settingscontrol.xaml	203	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'MotionYawOffset'	SimHap	settingscontrol.xaml	199	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'PoweredWheels'	SimHap	settingscontrol.xaml	118	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'Redline'	SimHap	settingscontrol.xaml	75	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'RumbleMult'	SimHap	settingscontrol.xaml	284	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'RumbleMultAll'	SimHap	settingscontrol.xaml	277	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipXGamma'	SimHap	settingscontrol.xaml	367	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipXGammaAll'	SimHap	settingscontrol.xaml	360	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipXMult'	SimHap	settingscontrol.xaml	354	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipXMultAll'	SimHap	settingscontrol.xaml	347	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipYGamma'	SimHap	settingscontrol.xaml	401	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipYGammaAll'	SimHap	settingscontrol.xaml	394	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipYMult'	SimHap	settingscontrol.xaml	388	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SlipYMultAll'	SimHap	settingscontrol.xaml	381	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SuspensionGamma'	SimHap	settingscontrol.xaml	310	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SuspensionGammaAll'	SimHap	settingscontrol.xaml	303	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SuspensionMult'	SimHap	settingscontrol.xaml	297	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'SuspensionMultAll'	SimHap	settingscontrol.xaml	290	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'UpshiftDurationMs'	SimHap	settingscontrol.xaml	91	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for 'Version'	SimHap	settingscontrol.xaml	142	N/A	
Error	CS0102	The type 'SettingsControl' already contains a definition for '_contentLoaded'	SimHap	obj\Debug\settingscontrol.g.cs	445	N/A	
Error	CS0246	The type or namespace name 'Newtonsoft' could not be found (are you missing a using directive or an assembly reference?)	SimHap	SimHapticsPlugin.cs	8	N/A	
Error	CS0246	The type or namespace name 'Newtonsoft' could not be found (are you missing a using directive or an assembly reference?)	SimHap	SimHapticsPlugin.cs	9	N/A	
Error	CS0111	Type 'SettingsControl' already defines a member called 'InitializeComponent' with the same parameter types	SimHap	obj\Debug\settingscontrol.g.cs	452	N/A	
Error	CS0111	Type 'SettingsControl' already defines a member called 'System.Windows.Markup.IComponentConnector.Connect' with the same parameter types	SimHap	obj\Debug\settingscontrol.g.cs	472	N/A	
